WSRace,Year,WSPosition,WSName,WSClub,WSClass,WSTime,WSDecimalTime,WSNotes
A,1968,1,"Lawler Rowland & Whitby M","Richmond ","K2 Senior",02:12:55,2.20,.
A,1968,1,"Kearns ? & Bunce ?","Jl Re Dover","K2 Junior",02:29:04,2.48,.
C,1968,1,"Avery ? & Lawler Rowland",Richmond,"K2 Senior",03:22:09,3.37,.
C,1968,1,"Tarrant ? & Gow ?","Junior Leaders Regt","K2 Junior",04:12:44,4.20,.
A,1968,2,"Bosher M & Chapman A","Royal ","K2 Senior",02:16:16,2.27,.
A,1968,2,"Haydon ? & Green ?","Jl Re Dover","K2 Junior",02:32:25,2.53,.
C,1968,2,"Glavin ? & Head ?","Royal Marines","K2 Senior",03:45:11,3.75,.
C,1968,2,"Kearns ? & Bunce ?","Hythe Sea Scouts","K2 Junior",04:13:46,4.22,.
A,1968,3,"Wilkie ? & Wilkinson ?","Met Police Cadets","K2 Senior",02:22:34,2.37,.
A,1968,3,"Tricker G & Hill G","8Th Worthing Sea Scouts","K2 Junior",02:35:08,2.58,.
C,1968,3,"Bosher M & Chapman A",Richmond,"K2 Senior",03:45:23,3.75,.
C,1968,3,"Peake ? & Harris ?","Grosvenor House","K2 Junior",04:17:31,4.28,.
A,1968,4,"Lander ? & Harding ?","St Lukes Coll","K2 Senior",02:24:38,2.40,.
A,1968,4,"Jones P & Cripps M","Waterside ","K2 Junior",02:45:43,2.75,.
C,1968,4,"Greenaway Brian & Whitby ?",Richmond,"K2 Senior",03:45:30,3.75,.
C,1968,4,"Cannings ? & Mitchell ?",Salisbury,"K2 Junior",04:23:56,4.38,.
A,1968,5,"Gmach J & Johnson D","4 Admirals","K2 Senior",02:25:17,2.42,.
A,1968,5,"Peake S J & Harris G F","Hythe Sea Scouts","K2 Junior",02:37:22,2.62,.
A,1968,6,"Roberts A & Prince R","Reading ","K2 Senior",02:27:44,2.45,.
A,1968,6,"Parinham D & Taylor W","Atc Battersea","K2 Junior",02:47:19,2.78,.
A,1968,7,"Leach C & Schnepp C","Exeter ","K2 Senior",02:29:22,2.48,.
A,1968,7,"Roberts P & Early J","Hythe Sea Scouts","K2 Junior",02:48:48,2.80,.
A,1968,8,"Davis T & Purchas M","Bradford On Avon","K2 Senior",02:30:33,2.50,.
A,1968,8,"","","K2 Junior","","",.
A,1968,9,"Pritchard B F & Chandler S R","Wilts Police","K2 Senior",02:31:12,2.52,.
A,1968,9,"Neve N & Sollis K","Waterside ","K2 Junior",02:52:10,2.87,.
A,1968,10,"Stainsby T & Ball C","Metropolitan Police ","K2 Senior",02:33:37,2.55,.
A,1968,10,"Parry R A & Waterson E","Jl Re Dover","K2 Junior",02:53:13,2.88,.
A,1978,1,"",Recc,"K2 Senior",01:50:39,1.83,.
A,1978,1,"Capps Des & Considine G F","Leverton ","K2 Veteran",02:08:22,2.13,.
B,1978,1,"Pearson A D & Pendle Dyson","35Th Norwich Sea Scouts","K2 Senior",02:34:32,2.57,.
B,1978,1,"Capps Des & Considine G F","Leverton ","K2 Veteran",03:03:30,3.05,.
C,1978,1,"",Recc,"K2 Senior",03:04:23,3.07,.
D,1978,1,"Pearson A D & Pendle Dyson","35Th Norwich Sea Scouts","K2 Senior",04:59:00,4.98,.
D,1978,1,"Hossack D J & Johnson Barry","Leverton ","K2 Veteran",06:38:35,6.63,.
A,1978,2,"Hossack D J & Johnson Barry","Leverton ","K2 Veteran",02:28:06,2.47,.
B,1978,2,"Ralph P & Gosling J",Boarc,"K2 Senior",02:36:42,2.60,.
C,1978,2,"Parrett B & Greenham Brian","Reading & Leighton Park","K2 Senior",03:13:42,3.22,.
D,1978,2,"Ralph P & Gosling J",Boarc,"K2 Senior",05:11:40,5.18,.
A,1978,3,"Gardner P & Pavis M","Falcon Boat Club","K2 Senior",01:53:19,1.88,.
A,1978,3,"Haslam D R & Aris W","Met Police ","K2 Veteran",02:25:51,2.42,.
B,1978,3,"",Unknown,"K2 Senior",02:42:11,2.70,.
C,1978,3,"Hains R & Kinch R.","Falcon Boat Club","K2 Senior",03:18:22,3.30,.
D,1978,3,"",Unknown,"K2 Senior",05:15:00,5.25,.
A,1978,4,"Hains R & Kinch R","Falcon Boat Club","K2 Senior",01:54:37,1.90,.
B,1978,4,"Gardner P & Pavis M","Falcon Boat Club","K2 Senior",02:45:08,2.75,.
C,1978,4,"Cornish Tim & Greenaway Brian","Richmond ","K2 Senior",03:19:02,3.32,.
D,1978,4,"Thorogood Alison & Price R","Newham ","K2 Senior",05:22:30,5.37,.
A,1978,5,"Lawrence Phill & Phelps J","Royal Cjc.","K2 Senior",01:55:02,1.92,.
B,1978,5,"Kelly K & Kelly M J","Royal ","K2 Senior",02:46:00,2.77,.
C,1978,5,"Pearson A D & Pendle Dyson","35Th Norwich Sea Scouts","K2 Senior",03:21:33,3.35,.
D,1978,5,"Story R & Speck J",Acu,"K2 Senior",05:31:40,5.52,.
A,1978,6,"Parrett B & Greenham Brian","Reading & Leighton Park","K2 Senior",01:56:00,1.93,.
B,1978,6,"Kirshner M",Boarc,"K2 Senior",02:48:40,2.80,.
C,1978,6,"Thorogood Alison & Price R","Newham ","K2 Senior",03:33:09,3.55,.
D,1978,6,"",Recc,"K2 Senior",05:32:00,5.53,.
A,1978,7,"Cornish Tim & Greenaway Brian","Richmond ","K2 Senior",01:56:05,1.93,.
B,1978,7,"Gale K A & Clements R A","35Th Norwich Sea Scouts","K2 Senior",02:48:57,2.80,.
C,1978,7,"Brown M & Gould T","Newbury ","K2 Senior",03:34:01,3.57,.
D,1978,7,"Davies T & Drew A","Newbury ","K2 Senior",05:35:35,5.58,.
A,1978,8,"Ralph P & Roseling J",Boarc,"K2 Senior",01:56:10,1.93,.
B,1978,8,"Thorogood Alison & Price R","Newham ","K2 Senior",02:50:54,2.83,.
C,1978,8,"Gale K A & Clements R A","35Th Norwich Sea Scouts","K2 Senior",03:38:16,3.63,.
D,1978,8,"Stainsby A & Magness D","Met Police ","K2 Senior",05:40:15,5.67,.
A,1978,9,"Thorogood Alison & Price R","Newham ","K2 Senior",01:58:23,1.97,.
B,1978,9,"Stainsby A & Magness D","Met Police ","K2 Senior",02:56:42,2.93,.
C,1978,9,"Spencer A & Mcgladdery G M","Hereford Kc","K2 Senior",03:41:25,3.68,.
D,1978,9,"Jonston B & Elsey C","Wey & Lincoln ","K2 Senior",05:44:15,5.73,.
A,1978,10,"Kirshner M",Boarc,"K2 Senior",02:00:10,2.00,.
B,1978,10,"Spencer A & Mcgladdery G M","Hereford Kc","K2 Senior",02:58:54,2.97,.
